service_id,date,exception_type
14-Weekday-1-2024_4-1111100,20241217,1
14-Weekday-1-2024_4-1111100,20241218,1
14-Weekday-1-2024_4-1111100,20241219,1
14-Weekday-1-2024_4-1111100,20241220,1
14-Weekday-1-2024_5-1111100,20241223,1
14-Weekday-1-2024_5-1111100,20241224,1
14-Weekday-1-2024_5-1111100,20241227,1
14-Weekday-1-2024_5-1111100,20241230,1
14-Weekday-1-2024_5-1111100,20250102,1
14-Weekday-1-2024_5-1111100,20250103,1
14-Weekday-1-2024_5-1111100,20241231,1
16-Holiday1-1-2024_5-0000001,20250101,1
16-Holiday3-1-2024_5-0000001,20241226,1
16-Saturday-1-2024_4-0000010,20241207,1
16-Saturday-1-2024_4-0000010,20241214,1
16-Saturday-1-2024_4-0000010,20241221,1
16-Saturday-1-2024_5-0000010,20241228,1
16-Saturday-1-2024_5-0000010,20250104,1
16-Sunday-1-2024_4-0000001,20241208,1
16-Sunday-1-2024_4-0000001,20241215,1
16-Sunday-1-2024_4-0000001,20241222,1
16-Sunday-1-2024_5-0000001,20241229,1
16-Sunday-1-2024_5-0000001,20250105,1
16-Weekday-1-2024_4-1111100,20241202,1
16-Weekday-1-2024_4-1111100,20241203,1
16-Weekday-1-2024_4-1111100,20241204,1
16-Weekday-1-2024_4-1111100,20241205,1
16-Weekday-1-2024_4-1111100,20241206,1
16-Weekday-1-2024_4-1111100,20241209,1
16-Weekday-1-2024_4-1111100,20241210,1
16-Weekday-1-2024_4-1111100,20241211,1
16-Weekday-1-2024_4-1111100,20241212,1
16-Weekday-1-2024_4-1111100,20241213,1
16-Weekday-1-2024_4-1111100,20241216,1
16-Weekday-1-2024_4-1111100,20241217,1
16-Weekday-1-2024_4-1111100,20241218,1
16-Weekday-1-2024_4-1111100,20241219,1
16-Weekday-1-2024_4-1111100,20241220,1
16-Weekday-1-2024_5-1111100,20241223,1
16-Weekday-1-2024_5-1111100,20241224,1
16-Weekday-1-2024_5-1111100,20241227,1
16-Weekday-1-2024_5-1111100,20241230,1
16-Weekday-1-2024_5-1111100,20250102,1
16-Weekday-1-2024_5-1111100,20250103,1
16-Weekday-1-2024_5-1111100,20241231,1
19-Holiday1-1-2024_5-0000001,20250101,1
19-Holiday3-1-2024_5-0000001,20241226,1
19-Saturday-1-2024_4-0000010,20241207,1
19-Saturday-1-2024_4-0000010,20241214,1
19-Saturday-1-2024_4-0000010,20241221,1
19-Saturday-1-2024_5-0000010,20241228,1
19-Saturday-1-2024_5-0000010,20250104,1
19-Sunday-1-2024_4-0000001,20241208,1
19-Sunday-1-2024_4-0000001,20241215,1
19-Sunday-1-2024_4-0000001,20241222,1
19-Sunday-1-2024_5-0000001,20241229,1
19-Sunday-1-2024_5-0000001,20250105,1
19-Weekday-1-2024_4-1111100,20241202,1
19-Weekday-1-2024_4-1111100,20241203,1
19-Weekday-1-2024_4-1111100,20241204,1
19-Weekday-1-2024_4-1111100,20241205,1
19-Weekday-1-2024_4-1111100,20241206,1
19-Weekday-1-2024_4-1111100,20241209,1
19-Weekday-1-2024_4-1111100,20241210,1
19-Weekday-1-2024_4-1111100,20241211,1
19-Weekday-1-2024_4-1111100,20241212,1
19-Weekday-1-2024_4-1111100,20241213,1
19-Weekday-1-2024_4-1111100,20241216,1
19-Weekday-1-2024_4-1111100,20241217,1
19-Weekday-1-2024_4-1111100,20241218,1
19-Weekday-1-2024_4-1111100,20241219,1
19-Weekday-1-2024_4-1111100,20241220,1
19-Weekday-1-2024_5-1111100,20241223,1
19-Weekday-1-2024_5-1111100,20241224,1
19-Weekday-1-2024_5-1111100,20241227,1
19-Weekday-1-2024_5-1111100,20241230,1
19-Weekday-1-2024_5-1111100,20250102,1
19-Weekday-1-2024_5-1111100,20250103,1
19-Weekday-1-2024_5-1111100,20241231,1
1-Holiday1-1-2024_5-0000001,20250101,1
1-Holiday2-1-2024_5-0000001,20241225,1
1-Holiday3-1-2024_5-0000001,20241226,1
1-Saturday-1-2024_4-0000010,20241207,1
1-Saturday-1-2024_4-0000010,20241214,1
1-Saturday-1-2024_4-0000010,20241221,1
1-Saturday-1-2024_5-0000010,20241228,1
1-Saturday-1-2024_5-0000010,20250104,1
1-Sunday-1-2024_4-0000001,20241208,1
1-Sunday-1-2024_4-0000001,20241215,1
1-Sunday-1-2024_4-0000001,20241222,1
1-Sunday-1-2024_5-0000001,20241229,1
1-Sunday-1-2024_5-0000001,20250105,1
1-Weekday-1-2024_4-1111100,20241202,1
1-Weekday-1-2024_4-1111100,20241203,1
1-Weekday-1-2024_4-1111100,20241204,1
1-Weekday-1-2024_4-1111100,20241205,1
1-Weekday-1-2024_4-1111100,20241206,1
1-Weekday-1-2024_4-1111100,20241209,1
1-Weekday-1-2024_4-1111100,20241210,1
1-Weekday-1-2024_4-1111100,20241211,1
1-Weekday-1-2024_4-1111100,20241212,1
1-Weekday-1-2024_4-1111100,20241213,1
1-Weekday-1-2024_4-1111100,20241216,1
1-Weekday-1-2024_4-1111100,20241217,1
1-Weekday-1-2024_4-1111100,20241218,1
1-Weekday-1-2024_4-1111100,20241219,1
1-Weekday-1-2024_4-1111100,20241220,1
1-Weekday-1-2024_5-1111100,20241223,1
1-Weekday-1-2024_5-1111100,20241224,1
1-Weekday-1-2024_5-1111100,20241227,1
1-Weekday-1-2024_5-1111100,20241230,1
1-Weekday-1-2024_5-1111100,20250102,1
1-Weekday-1-2024_5-1111100,20250103,1
1-Weekday-1-2024_5-1111100,20241231,1
201-Holiday1-1-2024_5-0000001,20250101,1
201-Holiday2-1-2024_5-0000001,20241225,1
201-Holiday3-1-2024_5-0000001,20241226,1
201-Saturday-1-2024_4-0000010,20241207,1
201-Saturday-1-2024_4-0000010,20241214,1
201-Saturday-1-2024_4-0000010,20241221,1
201-Saturday-1-2024_5-0000010,20241228,1
201-Saturday-1-2024_5-0000010,20250104,1
201-Sunday-1-2024_4-0000001,20241208,1
201-Sunday-1-2024_4-0000001,20241215,1
201-Sunday-1-2024_4-0000001,20241222,1
201-Sunday-1-2024_5-0000001,20241229,1
201-Sunday-1-2024_5-0000001,20250105,1
201-Weekday-1-2024_4-1111100,20241202,1
201-Weekday-1-2024_4-1111100,20241203,1
201-Weekday-1-2024_4-1111100,20241204,1
201-Weekday-1-2024_4-1111100,20241205,1
201-Weekday-1-2024_4-1111100,20241206,1
201-Weekday-1-2024_4-1111100,20241209,1
201-Weekday-1-2024_4-1111100,20241210,1
201-Weekday-1-2024_4-1111100,20241211,1
201-Weekday-1-2024_4-1111100,20241212,1
201-Weekday-1-2024_4-1111100,20241213,1
201-Weekday-1-2024_4-1111100,20241216,1
201-Weekday-1-2024_4-1111100,20241217,1
201-Weekday-1-2024_4-1111100,20241218,1
201-Weekday-1-2024_4-1111100,20241219,1
201-Weekday-1-2024_4-1111100,20241220,1
201-Weekday-1-2024_5-1111100,20241223,1
201-Weekday-1-2024_5-1111100,20241224,1
201-Weekday-1-2024_5-1111100,20241227,1
201-Weekday-1-2024_5-1111100,20241230,1
201-Weekday-1-2024_5-1111100,20250102,1
201-Weekday-1-2024_5-1111100,20250103,1
201-Weekday-2-2024_5-1111100,20241231,1
202-Holiday1-1-2024_5-0000001,20250101,1
202-Holiday2-1-2024_5-0000001,20241225,1
202-Holiday3-1-2024_5-0000001,20241226,1
202-Saturday-1-2024_4-0000010,20241207,1
202-Saturday-1-2024_4-0000010,20241214,1
202-Saturday-1-2024_4-0000010,20241221,1
202-Saturday-1-2024_5-0000010,20241228,1
202-Saturday-1-2024_5-0000010,20250104,1
202-Sunday-1-2024_4-0000001,20241208,1
202-Sunday-1-2024_4-0000001,20241215,1
202-Sunday-1-2024_4-0000001,20241222,1
202-Sunday-1-2024_5-0000001,20241229,1
202-Sunday-1-2024_5-0000001,20250105,1
202-Weekday-1-2024_4-1111100,20241202,1
202-Weekday-1-2024_4-1111100,20241203,1
202-Weekday-1-2024_4-1111100,20241204,1
202-Weekday-1-2024_4-1111100,20241205,1
202-Weekday-1-2024_4-1111100,20241206,1
202-Weekday-1-2024_4-1111100,20241209,1
202-Weekday-1-2024_4-1111100,20241210,1
202-Weekday-1-2024_4-1111100,20241211,1
202-Weekday-1-2024_4-1111100,20241212,1
202-Weekday-1-2024_4-1111100,20241213,1
202-Weekday-1-2024_4-1111100,20241216,1
202-Weekday-1-2024_4-1111100,20241217,1
202-Weekday-1-2024_4-1111100,20241218,1
202-Weekday-1-2024_4-1111100,20241219,1
202-Weekday-1-2024_4-1111100,20241220,1
202-Weekday-1-2024_5-1111100,20241223,1
202-Weekday-1-2024_5-1111100,20241224,1
202-Weekday-1-2024_5-1111100,20241227,1
202-Weekday-1-2024_5-1111100,20241230,1
202-Weekday-1-2024_5-1111100,20250102,1
202-Weekday-1-2024_5-1111100,20250103,1
202-Weekday-2-2024_5-1111100,20241231,1
203-Holiday1-3-2024_5-0000001,20250101,1
203-Holiday2-1-2024_5-0000001,20241225,1
203-Holiday3-1-2024_5-0000001,20241226,1
203-Saturday-2-2024_4-0000010,20241207,1
203-Saturday-2-2024_4-0000010,20241214,1
203-Saturday-2-2024_4-0000010,20241221,1
203-Saturday-2-2024_5-0000010,20241228,1
203-Saturday-2-2024_5-0000010,20250104,1
203-Sunday-2-2024_4-0000001,20241208,1
203-Sunday-2-2024_4-0000001,20241215,1
203-Sunday-2-2024_4-0000001,20241222,1
203-Sunday-2-2024_5-0000001,20241229,1
203-Sunday-2-2024_5-0000001,20250105,1
203-Weekday-1-2024_4-1111100,20241202,1
203-Weekday-1-2024_4-1111100,20241203,1
203-Weekday-1-2024_4-1111100,20241204,1
203-Weekday-1-2024_4-1111100,20241205,1
203-Weekday-1-2024_4-1111100,20241206,1
203-Weekday-1-2024_4-1111100,20241209,1
203-Weekday-1-2024_4-1111100,20241210,1
203-Weekday-1-2024_4-1111100,20241211,1
203-Weekday-1-2024_4-1111100,20241212,1
203-Weekday-1-2024_4-1111100,20241213,1
203-Weekday-1-2024_4-1111100,20241216,1
203-Weekday-1-2024_4-1111100,20241217,1
203-Weekday-1-2024_4-1111100,20241218,1
203-Weekday-1-2024_4-1111100,20241219,1
203-Weekday-1-2024_4-1111100,20241220,1
203-Weekday-1-2024_5-1111100,20241223,1
203-Weekday-1-2024_5-1111100,20241224,1
203-Weekday-1-2024_5-1111100,20241227,1
203-Weekday-1-2024_5-1111100,20241230,1
203-Weekday-1-2024_5-1111100,20250102,1
203-Weekday-1-2024_5-1111100,20250103,1
203-Weekday-1-2024_5-1111100,20241231,1
204-Holiday1-1-2024_5-0000001,20250101,1
204-Holiday2-1-2024_5-0000001,20241225,1
204-Holiday3-1-2024_5-0000001,20241226,1
204-Saturday-1-2024_4-0000010,20241207,1
204-Saturday-1-2024_4-0000010,20241214,1
204-Saturday-1-2024_4-0000010,20241221,1
204-Saturday-1-2024_5-0000010,20241228,1
204-Saturday-1-2024_5-0000010,20250104,1
204-Sunday-1-2024_4-0000001,20241208,1
204-Sunday-1-2024_4-0000001,20241215,1
204-Sunday-1-2024_4-0000001,20241222,1
204-Sunday-1-2024_5-0000001,20241229,1
204-Sunday-1-2024_5-0000001,20250105,1
204-Weekday-1-2024_4-1111100,20241202,1
204-Weekday-1-2024_4-1111100,20241203,1
204-Weekday-1-2024_4-1111100,20241204,1
204-Weekday-1-2024_4-1111100,20241205,1
204-Weekday-1-2024_4-1111100,20241206,1
204-Weekday-1-2024_4-1111100,20241209,1
204-Weekday-1-2024_4-1111100,20241210,1
204-Weekday-1-2024_4-1111100,20241211,1
204-Weekday-1-2024_4-1111100,20241212,1
204-Weekday-1-2024_4-1111100,20241213,1
204-Weekday-1-2024_4-1111100,20241216,1
204-Weekday-1-2024_4-1111100,20241217,1
204-Weekday-1-2024_4-1111100,20241218,1
204-Weekday-1-2024_4-1111100,20241219,1
204-Weekday-1-2024_4-1111100,20241220,1
204-Weekday-1-2024_5-1111100,20241223,1
204-Weekday-1-2024_5-1111100,20241224,1
204-Weekday-1-2024_5-1111100,20241227,1
204-Weekday-1-2024_5-1111100,20241230,1
204-Weekday-1-2024_5-1111100,20250102,1
204-Weekday-1-2024_5-1111100,20250103,1
204-Weekday-2-2024_5-1111100,20241231,1
205-Holiday1-1-2024_5-0000001,20250101,1
205-Holiday2-1-2024_5-0000001,20241225,1
205-Holiday3-1-2024_5-0000001,20241226,1
205-Saturday-1-2024_4-0000010,20241207,1
205-Saturday-1-2024_4-0000010,20241214,1
205-Saturday-1-2024_4-0000010,20241221,1
205-Saturday-1-2024_5-0000010,20241228,1
205-Saturday-1-2024_5-0000010,20250104,1
205-Sunday-1-2024_4-0000001,20241208,1
205-Sunday-1-2024_4-0000001,20241215,1
205-Sunday-1-2024_4-0000001,20241222,1
205-Sunday-1-2024_5-0000001,20241229,1
205-Sunday-1-2024_5-0000001,20250105,1
205-Weekday-1-2024_4-1111100,20241202,1
205-Weekday-1-2024_4-1111100,20241203,1
205-Weekday-1-2024_4-1111100,20241204,1
205-Weekday-1-2024_4-1111100,20241205,1
205-Weekday-1-2024_4-1111100,20241206,1
205-Weekday-1-2024_4-1111100,20241209,1
205-Weekday-1-2024_4-1111100,20241210,1
205-Weekday-1-2024_4-1111100,20241211,1
205-Weekday-1-2024_4-1111100,20241212,1
205-Weekday-1-2024_4-1111100,20241213,1
205-Weekday-1-2024_4-1111100,20241216,1
205-Weekday-1-2024_4-1111100,20241217,1
205-Weekday-1-2024_4-1111100,20241218,1
205-Weekday-1-2024_4-1111100,20241219,1
205-Weekday-1-2024_4-1111100,20241220,1
205-Weekday-1-2024_5-1111100,20241223,1
205-Weekday-1-2024_5-1111100,20241224,1
205-Weekday-1-2024_5-1111100,20241227,1
205-Weekday-1-2024_5-1111100,20241230,1
205-Weekday-1-2024_5-1111100,20250102,1
