OBJECTID,IntersectionName,InstallDate,DetectionMethod,OwnedBy,MaintainedBy,LifeStatus,RetiredDate,RetiredReason,Settlement,Municipality,RMWID,ContractNumber,SHAPESTArea,SHAPESTLength
13515,King St W @ Wellington St N/Wellington St S,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11986,ION,1.999930065,5.99991807014418
13516,King St W @ Wellington St N/Wellington St S,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11987,ION,1.99999088,5.99991807398687
13517,King St W @ Wellington St N/Wellington St S,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11988,ION,17.99947441,23.599961116155
13518,King St W @ Wellington St N/Wellington St S,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11989,ION,18.00055384,23.5998816900403
13519,King St W @ Agnes St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11990,ION,2.00011383,6.00010183702507
13520,King St W @ Agnes St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11991,ION,1.99996467,5.99991807356311
13521,King St W @ Agnes St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11992,ION,2.00019924,6.00023318259342
13522,King St W @ Agnes St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11993,ION,2.00011383,6.00010183702507
13523,King St W @ Agnes St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11994,ION,18.137178425,23.6002071294035
13524,King St W @ KW Collegiate,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11995,ION,2.000002215,5.99997048955205
13525,King St W @ KW Collegiate,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11996,ION,18.00049552,23.6000735755641
13526,King St W @ KW Collegiate,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11997,ION,18.000027305,23.6000133017306
13527,King St W @ KW Collegiate,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11998,ION,18.000027305,23.6000133017306
13528,King St W @ Green St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12000,ION,1.999930065,5.99991807014418
13529,King St W @ Green St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12001,ION,18.00014106,23.6001386826346
13530,King St W @ Green St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11999,ION,2.00029457,5.99992331446623
13531,King St W @ Green St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12002,ION,1.999930065,5.99991807014418
13532,King St W @ Green St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12003,ION,1.999930065,5.99991807014418
13533,King St W @ Green St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12004,ION,23.83228893,30.0805514898889
13534,King St W @ Green St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12005,ION,18.000027305,23.6000133017306
13535,King St W @ Grand River Hospital,2017/09/01 00:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12006,ION,18.17431996,23.6004067366242
