OBJECTID,IntersectionName,InstallDate,DetectionMethod,OwnedBy,MaintainedBy,LifeStatus,RetiredDate,RetiredReason,Settlement,Municipality,RMWID,ContractNumber,SHAPESTArea,SHAPESTLength
1,Victoria St S @ Westforest Trail/Eastforest Trail,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1161,,22.492588945,24.3779459672726
2,Franklin Blvd @ Elgin St N/Saginaw Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET437,,18.93667455,23.5114757174162
3,Water St S @ Ainslie St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1196,,15.662899415,19.634032077055
4,Bridge St W @ Bridle Trail,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1602,,15.74805909,21.1981734513427
5,Fountain St N @ Maple Grove Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET2447,,4.47588373,8.45512193988251
6,Ainslie St N @ Simcoe St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET3,,15.11392825,19.6933476112911
8,Weber St N @ Benjamin Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1265,,23.498296595,24.9620621294679
9,Victoria St S @ Park St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET7248,,11.93927883,16.1901184321684
11,Franklin Blvd @ Winston Blvd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET425,,17.03597579,18.7373143397854
12,Maple Grove Rd @ Cherry Blossom Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET812,,21.320652845,25.1030167351314
13,Northfield Dr E @ Line 86,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET3650,,2.94732776,6.893800599864
14,King St N @ Conestogo Rd W/Conestogo Rd E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET721,,29.19942329,25.9399394989112
15,Townline Rd @ Hwy 401E Off Ramp,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1632,,43.63621223,35.2617339006154
16,Weber St N @ Lincoln Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1231,,18.97611743,21.0799911021029
18,Maple Grove Rd @ Vondrau Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET830,,1.455390235,4.86652670850075
19,Ainslie St N @ Dickson St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET7,,34.320013805,30.4969630911679
20,Bearinger Rd @ Parkside Dr @ Wes Graham Way,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET42,,21.852365085,25.0088798193133
21,Franklin Blvd @ Holiday Inn Dr @ Jamieson Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET434,,22.43408629,21.6421166601493
22,Victoria St S @ Lawrence Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1151,,23.582163945,25.7018324911685
23,Lancaster St W @ Victoria St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET779,,17.39096509,19.5818106217409
24,Guelph Ave @ Scott Rd/Baldwin Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET480,,22.56312675,25.6773040329745
25,Victoria St S @ Strange St/West Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1145,,32.32606318,34.6962229995804
26,Courtland Ave E/Fairway Rd S @Manitou Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET205,,11.39727567,15.5852860724715
27,Highland Rd W @ Highland Cres,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET557,,14.547552665,18.900099492354
29,Weber St N @ Northfield Dr W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1247,,16.104987575,19.7675217142168
31,Hespeler Rd @ 480 Hespeler Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET522,,16.8094025,21.3070192071321
32,Hespeler Rd @ Can-Amera Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1392,,2.61553766,8.3394564815863
33,Victoria St N @ Duke St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1171,,26.01164957,24.662667976322
34,Fairway Rd S @ Fairview Park Mall Entrance,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET312,,22.004445525,19.2048319820932
35,Caroline St N/Bridgeport Rd W @ Albert St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1573,,4.792672565,9.48331122090318
36,University Ave E @ Dale Cres/Lincoln Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1588,,20.69352759,23.1604789182972
37,Hespeler Rd @ Bishop St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET487,,28.28389288,28.4798234047195
40,Arthur St S @ Whippoorwill Dr/South Field Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Elmira,Woolwich,DET22,,19.29889445,23.8291821774423
41,Frederick St @ Edna St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET456,,11.41435716,16.094285311603
42,Maple Grove Rd @ Vondrau Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET823,,16.24887808,21.0411837268021
43,Fischer-Hallman Rd @ Ottawa St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET964,,8.15848187,11.8897511458124
44,Victoria St N @ Ebycrest Rd/Woolwich St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Breslau,Woolwich,DET249,,23.757484855,29.1123728580821
45,Strasburg Rd @ 700 Strasburg Rd @ 695 Strasburg Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1464,,15.451533685,20.1419036120161
46,Victoria St S @ Hazelglen Dr,,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1152,,15.300071715,19.4910407627291
47,Weber St N @ Northfield Dr W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1249,,1.243507355,4.51139255750425
48,Frederick St @ Otto St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET460,,14.54842374,18.7191596675316
49,University Ave W @ Ring Rd/Seagram Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1076,,17.73881529,20.0236033564452
52,Block Line Rd @ Kingswood Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET99,,12.929053925,16.5631692370442
53,Eagle St N @ Industrial Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET239,,29.101829735,27.8270123041859
54,University Ave W @ Erb St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET269,,19.43629255,23.6657706128059
55,Hespeler Rd @ Can-Amera Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1379,,18.657608455,23.4377745525035
57,Hespeler Rd @ Jaffray St/Avenue Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET539,,24.19047879,25.8218753292198
58,Lorraine Ave @ River Rd E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1029,,19.70875917,20.8506710505644
59,Weber St E @ Kinzie Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1226,,19.019181335,21.4152011644581
60,Hespeler Rd @ Can-Amera Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1384,,3.600682405,7.82145219348785
61,Erb St E @ Moore Ave N/Moore Ave S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET259,,15.443672485,19.6856757508684
62,Caroline St N/Bridgeport Rd W @ Albert St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1578,,3.45880986,7.83495183059775
63,Beverly St @ Kerr St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET67,,8.11462915,12.2578660768784
64,Townline Rd @ Hwy 401E Off Ramp,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1631,,48.08857613,36.6232723348822
65,King St E @ Westminister St N/Westminister St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET692,,27.10985083,25.4801954004372
66,Fischer-Hallman Rd @ New Dundee Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,North Dumfries,North Dumfries,DET865,,2.608373625,6.50875661724515
67,King St E @ Sportsworld Crossing Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1542,,22.27830428,25.4051535817835
68,Bearinger Rd @ Parkside Dr @ Wes Graham Way,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET43,,10.65071354,15.7440596948333
69,Fischer-Hallman Rd @ Ottawa St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET960,,32.71677558,28.7504411748545
71,Fountain St N @ Maple Grove Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET374,,38.620135555,30.0458398684694
72,Victoria St S @ Westforest Trail,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1166,,25.427163665,29.2638427603011
73,Highland Rd W @ Patricia Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET573,,65.54103485,37.7137288696577
74,Hespeler Rd @ Jaffray St/Avenue Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET536,,23.056190195,26.4508724220402
75,Bridge St W @ Lexington Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1636,,33.284405585,28.3341594013454
77,St Andrews St @ Cedar St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1478,,15.06610743,18.2152068600214
78,Highland Rd W @ Eastforest Trail/Westheights Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET565,,11.31869503,15.3891813418091
79,Sportsworld Dr @ Sportsworld Crossing,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1449,,37.758812515,31.7950700327798
80,Weber St N @ Farmer's Market Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET1271,,24.133358555,28.4596347333056
81,Victoria St N @ Forwell Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1138,,12.36755964,15.3422501446066
82,Homer Watson Blvd @ 7/8 W Off to Homer Watson Blvd S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1633,,55.23878526,37.6210558032468
84,King St N @ Wyman Rd/Northland Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET708,,24.18411093,26.3779111060054
85,Bleams Rd @ Strasburg Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET75,,34.47528903,27.5423796975597
86,Ottawa St S @ International Pl/Wilderness Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET968,,18.96286389,21.9411925071087
87,Weber St N @ Northfield Dr W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1248,,16.278051615,19.7997957121749
88,Fischer-Hallman Rd N @ Keats Way,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET361,,23.59016119,24.8460706193441
89,Columbia St W @ 175-195 Columbia St W @ 170-180 Columbia St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET127,,18.671722315,23.0214402710917
90,Northfield Dr E @ Line 86,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET3647,,3.931802355,7.9292858442975
91,Ottawa St S @ International Pl/Wilderness Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET972,,14.987095375,19.4685307354542
92,King St E @ Deer Ridge Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET658,,20.617668595,24.087572875966
93,Water St S @ Cedar St/Concession St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1184,,15.10660995,18.6542966224437
94,Goebel Ave @ Groh Ave @ Holiday Inn Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET473,,14.56838123,17.8537832829097
95,Columbia St W @ Hagey Blvd @ North Campus Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET141,,18.252838915,21.7064883161406
96,Victoria St S @ Westforest Trail,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1169,,21.53057273,27.0390917720993
98,Hespeler Rd @ Hwy 401E off,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET4447,,19.070736625,20.8913583919738
99,King St N @ Hwy 85/Martin Grove Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET1415,,64.730185235,52.6837372751057
100,Fairway Rd N @ Pebblecreek Dr/Upper Mercer St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1552,,3.48040995,7.47575717511679
101,Traynor Ave @ Wilson Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1471,,5.271236865,9.08753162936778
102,Bridgeport Rd E @ Bluevale St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1599,,7.04702594,11.3255296644814
103,Erb St W @ Fischer-Hallman Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET266,,22.699805745,27.5144010752821
104,Cedar St @ Drew Ave/Southwood Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET102,,29.115346195,23.8617931198521
105,Fischer-Hallman Rd N @ Columbia St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET355,,15.262517885,19.1063947747684
106,King St E @ Tu-Lane St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET664,,25.79539686,30.4082280829478
107,Fischer-Hallman Rd @ Glasgow St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET342,,16.04354785,21.5303772105102
108,Dearborn Blvd @ Dearborn Pl @ Lexington Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET781,,45.28594748,35.5670545747438
109,Shantz Hill Rd @ Preston Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1050,,25.950980775,24.8835328366226
110,George St N @ Park Hill Rd W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET464,,22.16230654,24.6962230921652
111,Pinebush Rd @ Power Centre/Home Depot,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1434,,13.747480125,19.4321866641774
112,Edna St @ Hwy 85,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET10848,,26.4833541,23.0324464884956
113,Fischer-Hallman Rd N @ Columbia St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET354,,12.57491935,15.7089100554132
114,Victoria St S @ Joseph St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1176,,29.91620384,27.9752766672814
115,Ottawa St S @ Sunrise Shopping Centre,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1425,,30.447473845,28.4074029214476
117,Fischer-Hallman Rd @ Greenbrook Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET333,,41.45419204,43.1504594703816
118,Farmer's Market Rd @ 335 Farmer's Market Rd @ 100-300 Farmer's Market Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET327,,31.234290165,27.1310703395421
119,Fischer-Hallman Rd @ Highland Rd W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET549,,21.00242954,25.4002856665725
120,Fischer-Hallman Rd @ New Dundee Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET866,,2.860405125,6.81083024570504
122,Franklin Blvd @ Can-Amera Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET402,,22.69310738,26.9685682920149
123,Coronation Blvd @ Cambridge Memorial Hospital,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET172,,22.177671335,25.2267838467145
124,Erbsville Rd @ Columbia St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET287,,21.60500014,25.1039481031553
126,Caroline St N/Bridgeport Rd W @ Albert St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1575,,2.992788075,7.21338570458797
127,Weber St E @ Emmanuel Village,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1556,,12.83674827,16.4940078077915
128,Victoria St S @ Westforest Trail/Eastforest Trail,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1164,,10.384401835,17.3393564019005
129,University Ave W @ Hazel St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1094,,13.048240665,15.7931784079946
130,Bridgeport Rd E @ Regina St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1584,,4.744333045,8.75745552700433
131,University Ave W @ Westvale Gate/Resurrection Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1103,,18.84861901,20.4698773979645
132,Battler Rd @ Huron Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET629,,51.870560015,35.4111919254522
133,Weber St N @ University Ave E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1236,,29.36272202,24.1277173897251
134,Ainslie St N @ Dickson St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET8,,12.71923777,18.3588516665225
135,Albert St @ Columbia St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET150,,16.80053896,20.7255094778771
136,Hespeler Rd @ Can-Amera Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1385,,4.4352912,8.65663749942092
137,Homer Watson Blvd @ Beasley Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET596,,23.30839632,25.3261513558232
140,Ottawa St S @ Laurention Power Centre,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1422,,13.351310875,19.4509103841838
141,Gaukel St @ King St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1538,,11.80327038,15.4974216154661
143,Victoria St N @ Natchez Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1132,,21.056892295,24.0010193048182
144,Erb St E @ Moore Ave N/Moore Ave S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET260,,14.418988875,19.149773594478
145,Victoria St S @ Westforest Trail/Eastforest Trail,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1163,,16.409540765,19.9175126505864
146,Homer Watson Blvd @ 7/8 W Off to Homer Watson Blvd S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1634,,43.550423675,36.5263788955603
147,Arthur St S @ Whippoorwill Dr/South Field Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Elmira,Woolwich,DET25,,14.64988649,19.0166955411429
148,Townline Rd @ Pinebush Rd ,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Puslinch,Puslinch,DET1477,,23.299967255,22.2164136193073
149,Weber St N @ University Ave E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1235,,29.75648885,27.544007788541
151,Weber St N @ Forwell Creek Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1278,,16.248755045,20.436128321859
152,Shantz Hill Rd @ Preston Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1049,,25.818468305,25.1653249228624
154,Westmount Rd W @ Chopin Dr/Brybeck Cres,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1314,,21.215426345,24.221181683872
155,Hespeler Rd @ Can-Amera Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1386,,4.519497865,9.02933387927032
157,Huron Rd @ Trillium Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET622,,16.30860325,20.3767108810136
158,Main St @ South Cambridge Mall,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET796,,17.398503495,19.5794333189854
159,Fountain St N @ Allendale Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET372,,18.83258791,20.7893660653191
160,Victoria St N @ Fountain St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Breslau,Woolwich,DET1570,,1.27688975,4.524677788017
161,Westmount Rd S @ William St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1309,,24.284107,21.9430162998115
162,Queen St W @ Winston Blvd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1021,,23.177740285,21.4844312713392
163,Weber St E @ Kinzie Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1224,,14.627957015,17.7416248701162
164,Weber St N @ Northfield Dr W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1240,,34.879840525,35.5031827899188
166,Krug St @ River Rd E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1038,,23.06475908,20.3012022987401
167,Fischer-Hallman Rd @ Activa Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET344,,16.698213145,20.352813370172
169,Glasgow St @ Park St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1016,,20.77826711,21.6836343744254
170,Courtland Ave E @ Madison Ave S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET189,,12.6461299,16.6985616301311
171,Weber St N @ University Ave E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1237,,33.50260969,26.1954867300726
172,Fairway Rd N @ 655 Fairway Rd S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET297,,16.86893306,20.418470810318
173,Westmount Rd E @ Laurentian Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1301,,3.71903239,7.76316986134196
174,Victoria St N @ Natchez Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1134,,16.732392565,20.3865081646216
175,King St N @ Columbia St W/Columbia St E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET742,,5.367909,9.36265076945178
176,Ottawa St S @ Laurention Power Centre,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1420,,16.19966704,20.693673715088
177,Townline Rd @ Jamieson Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Puslinch,Puslinch,DET1480,,4.084054975,8.10436336092685
178,Fairway Rd N @ 655 Fairway Rd S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET296,,15.895143885,20.3468013787459
179,Columbia St W @ Hagey Blvd @ North Campus Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET146,,17.6741307,20.2132156258271
180,Ottawa St S @ Sunrise Shopping Centre,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1428,,19.984700155,20.8152724233378
181,King St N @ Hwy 85/Martin Grove Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET1412,,39.006189095,32.7618422809574
182,Weber St N @ Northfield Dr W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1246,,12.222813375,14.9203634410563
183,Battler Rd @ Huron Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET631,,18.192344195,21.838791613423
184,Can-Amera Pky @ Bishop St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1505,,42.317636925,37.6731831365657
185,Cedar St N @ Cedar St S @ King St E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET107,,11.74750248,14.3738293660942
186,Ottawa St N @ Lackner Blvd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET981,,18.48563978,20.9483716671644
188,Hespeler Rd @ Bishop St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET488,,34.49980494,29.563616273762
189,George St N @ Park Hill Rd W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET466,,21.86016031,24.1593887326121
190,Water St N @ Samuelson St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1195,,4.71806733,8.7960158387373
191,Erbsville Rd @ Columbia St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET288,,38.956075235,29.6774007658105
192,Sportsworld Dr @ Gateway Park Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1452,,18.022495585,19.7972376838102
193,Fountain St N @ Cherry Blossom Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET388,,20.94876311,23.0537824647143
195,Northfield Dr E @ Line 86,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET3250,,1.740128165,5.2838872748574
196,Fischer-Hallman Rd @ Ottawa St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET957,,4.6444257,8.67926929688419
