OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
55630,20989,Arterial,MAJOR,WESTMOUNT RD W,HIGHLAND RD W,VICMOUNT DR,,,,,REGIONAL RD 50,6,REG,TwoWay,REG PLAN 1319,4/22/2003 12:00:00 AM,60,21886,2015,7-7 MON-FRI,531.550629340421
55643,5463,Arterial,MAJOR,HIGHLAND RD W,GLASGOW ST,TRUSSLER RD,1593,1665,1624,1644,REGIONAL RD  6,2,REG,TwoWay,58R-5833,4/22/2003 12:00:00 AM,70,7803,2015,24HR,371.477881961149
55683,6953,Arterial,MAJOR,LANCASTER ST W,UNION ST,C_PKY STR OFFRAMP,405,419,404,422,REGIONAL RD 29,4,REG,TwoWay,58R-11425,9/9/2003 12:00:00 AM,50,15480,2015,24HR,98.7871778083412
55704,6168,Arterial,MAJOR,WESTMOUNT RD W,VICMOUNT DR,VICTORIA ST S,301,301,,,REGIONAL RD 50,5,REG,TwoWay,REG PLAN 1319,4/22/2003 12:00:00 AM,60,21183,2015,7-7 MON-FRI,167.834828796456
55753,9503,Arterial,MAJOR,OTTAWA ST S,FISCHER HALLMAN RD,INTERNATIONAL PL,1425,1493,1400,1450,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 820,7/29/2003 12:00:00 AM,50,13439,2015,24HR,628.368365221655
55757,22312,Arterial,MAJOR,RIVER RD E,SCENIC DR,MORGAN AVE,1600,1600,1601,1601,REGIONAL RD 56,4,REG,TwoWay,REG PLAN 1114,4/22/2003 12:00:00 AM,50,3485,2013,7-7 MON-SAT,764.785486646614
55854,12610,Arterial,MAJOR,BRIDGE ST W,WOOLWICH ST,WATERLOO BOUNDARY,35,75,40,54,REGIONAL RD 52,2,REG,TwoWay,,,50,13751,2015,24HR,275.466161498552
55914,10877,Arterial,MAJOR,OTTAWA ST S,PATTANDON AVE,HOFFMAN ST,367,419,368,406,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 733,4/22/2003 12:00:00 AM,50,17504,2015,24HR,211.71276114399
55915,21000,Arterial,MAJOR,WESTMOUNT RD E,QUEENS BLVD,GATEWOOD RD,54,54,11,67,REGIONAL RD 50,5,REG,TwoWay,REG PLAN 786,4/22/2003 12:00:00 AM,50,20877,2015,7-7 MON-FRI,188.056028918884
55917,12119,Arterial,MAJOR,KING ST E,KINGSBURY DR,MORGAN AVE,2933,2933,2934,2934,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 589,4/22/2003 12:00:00 AM,50,25524,2015,24HR,41.9558311142296
55928,6647,Arterial,MAJOR,COURTLAND AVE E,PETER ST,CEDAR ST S,102,146,93,147,REGIONAL RD 53,2,REG,TwoWay,REG PLAN 409,4/22/2003 12:00:00 AM,50,13784,2015,24HR,201.694025982192
55929,11293,Arterial,MAJOR,COURTLAND AVE E,HEBEL PL,PETER ST,72,96,75,87,REGIONAL RD 53,2,REG,TwoWay,REG PLAN 409,4/22/2003 12:00:00 AM,50,10631,2015,24HR,114.991110753385
55930,9180,Arterial,MAJOR,COURTLAND AVE E,CLEMENS LANE,BENTON ST,22,38,19,25,REGIONAL RD  53,3,REG,TwoWay,REG PLAN 397,4/22/2003 12:00:00 AM,50,12404,2015,24HR,70.9451266139747
55964,10839,Arterial,MAJOR,OTTAWA ST S,HOMER WATSON BLVD,ALPINE RD,,,707,707,REGIONAL RD  4,6,REG,TwoWay,REG PLAN 1246,8/13/2002 12:00:00 AM,50,29227,2015,24HR,134.787924213723
56034,1258,Arterial,MAJOR,WESTMOUNT RD W,GAGE AVE,WESTWOOD DR,,,,,REGIONAL RD 50,5,REG,TwoWay,REG PLAN 402,4/22/2003 12:00:00 AM,60,22180,2015,7-7 MON-FRI,170.057555160871
56035,1307,Arterial,MAJOR,WESTMOUNT RD W,CHOPIN DR,GAGE AVE,,,,,REGIONAL RD 50,5,REG,TwoWay,REG PLAN 402,4/22/2003 12:00:00 AM,60,22250,2015,7-7 MON-FRI,183.503426139
56036,1310,Arterial,MAJOR,WESTMOUNT RD W,KARN ST,CHOPIN DR,,,,,REGIONAL RD 50,5,REG,TwoWay,REG PLAN 1517,4/22/2003 12:00:00 AM,60,23339,2015,7-7 MON-FRI,142.488385290634
56037,13089,Arterial,MAJOR,LANCASTER ST W,LANG CRES,GENERAL DR,537,555,544,560,REGIONAL RD 29,2,REG,TwoWay,REG PLAN 577,2/10/2003 12:00:00 AM,50,19672,2015,24HR,156.165472728358
56038,11061,Arterial,MAJOR,KING ST W,ANDREW ST,GREEN ST,723,825,730,824,REGIONAL RD 15,3,REG,TwoWay,REG PLAN 9,4/22/2003 12:00:00 AM,50,21661,2015,24HR,347.594467593104
56041,10483,Arterial,MAJOR,LANCASTER ST W,GUELPH ST,ARNOLD ST,193,255,200,248,REGIONAL RD 29,2,REG,TwoWay,REG PLAN 318,4/22/2003 12:00:00 AM,50,12678,2015,24HR,252.743169196543
56084,10242,Arterial,MAJOR,VICTORIA ST N,LACKNER BLVD,FORWELL RD,1486,1560,1475,1561,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 753,4/22/2003 12:00:00 AM,70,31972,2015,24HR,391.162946722094
