OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
56910,11680,Arterial,MAJOR,KING ST E,SHELDON AVE N,SHELDON AVE S,,,,,REGIONAL RD 15,3,REG,TwoWay,REG PLAN 404,4/22/2003 12:00:00 AM,50,12236,2015,24HR,28.4440731954398
56916,11732,Arterial,MAJOR,KING ST E,OTTAWA ST S,SYDNEY ST S,1105,1183,1122,1196,REGIONAL RD 15,5,REG,TwoWay,REG PLAN 404,4/22/2003 12:00:00 AM,50,12120,2015,24HR,162.493897025873
56931,11513,Arterial,MAJOR,OTTAWA ST N,FRANKLIN ST N,HICKSON DR,,,,,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 1053,12/18/2003 12:00:00 AM,50,23513,2015,7-7 MON-SAT,198.453492506595
56932,11516,Arterial,MAJOR,OTTAWA ST N,HICKSON DR,MIDLAND DR,,,,,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 1053,12/18/2003 12:00:00 AM,50,24148,2015,7-7 MON-SAT,48.8837023007569
56942,10250,Arterial,MAJOR,LACKNER BLVD,VICTORIA ST N,KEEWATIN AVE,,,,,REGIONAL RD 54,5,REG,TwoWay,REG PLAN 1627,4/22/2003 12:00:00 AM,60,14832,2015,24HR,320.097394257889
56962,9232,Arterial,MAJOR,OTTAWA ST N,KING ST E,BRICK ST,,,11,11,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 316,4/22/2003 12:00:00 AM,50,15841,2015,24HR,112.118317036241
56963,11696,Arterial,MAJOR,OTTAWA ST N,BRICK ST,ROSEDALE AVE,20,20,15,35,REGIONAL RD  4,4,REG,TwoWay,GIS STAFF,12/9/2003 12:00:00 AM,50,16940,2015,24HR,161.938773084252
56964,6904,Arterial,MAJOR,CHARLES ST E,PANDORA AVE S,STIRLING AVE S,354,360,355,355,REGIONAL RD 64,3,REG,TwoWay,,,50,11896,2015,24HR,132.950684559905
56965,6985,Arterial,MAJOR,LANCASTER ST W,C_PKY WAT ONRAMP,C_PKY STR OFFRAMP,425,425,428,454,REGIONAL RD 29,4,REG,TwoWay,58R-1955,9/9/2003 12:00:00 AM,50,23451,2015,24HR,188.288924068094
56971,12936,Arterial,MAJOR,BRIDGE ST E,STANLEY AVE,HOLLINGER CRES,299,353,300,300,REGIONAL RD 52,3,REG,TwoWay,,,60,7868,2015,24HR,336.864121427677
57002,602105,Arterial,MAJOR,LACKNER BLVD,VICTORIA ST N,KEEWATIN AVE,,,,,REGIONAL RD 54,2,REG,TwoWay,REG PLAN 1627,4/22/2003 12:00:00 AM,50,31972,2015,24HR,522.592180547093
57021,6704,Arterial,MAJOR,CHARLES ST W,QUEEN ST S,ONTARIO ST S,,,,,REGIONAL RD 64,3,REG,TwoWay,GIS,5/6/2009 12:00:00 AM,50,8963,2015,24HR,109.191588204431
57022,6687,Arterial,MAJOR,CHARLES ST W,ONTARIO ST S,GAUKEL ST,15,15,6,26,REGIONAL RD 64,3,REG,TwoWay,GIS,5/6/2009 12:00:00 AM,50,8378,2015,24HR,170.819926721409
57023,11687,Arterial,MAJOR,KING ST E,SYDNEY ST N,SHELDON AVE N,1227,1253,1206,1258,REGIONAL RD 15,3,REG,TwoWay,REG PLAN 404,4/22/2003 12:00:00 AM,50,11701,2015,24HR,90.3308808888404
57024,6899,Arterial,MAJOR,COURTLAND AVE E,KENT AVE,BORDEN AVE S,380,390,,,REGIONAL RD 53,2,REG,TwoWay,REG PLAN 404,4/22/2003 12:00:00 AM,50,11706,2015,24HR,189.170210079158
57039,8684,Arterial,MAJOR,VICTORIA ST S,PATRICIA AVE,BELMONT AVE W,319,415,342,418,REGIONAL RD 55,4,REG,TwoWay,GIS STAFF,6/10/2003 12:00:00 AM,50,16892,2015,24HR,271.863861286728
57040,11681,Arterial,MAJOR,KING ST E,SHELDON AVE S,PRESTON ST,1321,1333,1290,1334,REGIONAL RD 15,3,REG,TwoWay,REG PLAN 404,4/22/2003 12:00:00 AM,50,14324,2015,24HR,92.7175272963817
57041,25602,Ramp,MAJOR,HOMER WATSON OFFRAMP,HOMER WATSON BLVD,HURON RD,,,,,REGIONAL RD 28,1,REG,FromTo,REG PLAN 576,4/22/2003 12:00:00 AM,50,29206,2015,24HR,389.922048552375
57042,10414,Arterial,MAJOR,VICTORIA ST N,FORFAR AVE,NATCHEZ RD,1200,1278,1201,1271,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 769,4/22/2003 12:00:00 AM,60,31180,2015,24HR,373.794735711658
57049,10030,Arterial,MAJOR,WEBER ST E,SHANTZ LANE,ROSS AVE,,,,,REGIONAL RD  8,4,REG,TwoWay,MCP 765,5/30/2003 12:00:00 AM,50,16236,2015,7-7 MON-FRI,91.6849736139644
57054,5901,Arterial,MAJOR,KING ST W,FRANCIS ST N,VICTORIA ST N,399,417,404,410,REGIONAL RD 15,4,REG,TwoWay,REG PLAN 374,4/22/2003 12:00:00 AM,50,9897,2014,24HR,155.319755360977
57055,8942,Collector,MINOR,FRANCIS ST N,KING ST W,BELL LANE,,,,,REGIONAL RD 68,4,REG,TwoWay,REG PLAN 41,4/22/2003 12:00:00 AM,50,2521,2015,24HR,57.3078161263348
57056,8944,Collector,MINOR,FRANCIS ST N,BELL LANE,DUKE ST W,42,42,,,REGIONAL RD 68,4,REG,TwoWay,REG PLAN 41,4/22/2003 12:00:00 AM,50,2427,2015,24HR,88.1318108234376
57057,6663,Collector,MAJOR,DUKE ST W,YOUNG ST,COLLEGE ST,111,111,96,120,REGIONAL RD 63,2,REG,TwoWay,GIS STAFF,4/22/2003 12:00:00 AM,50,5334,2015,24HR,113.633602995837
57058,6743,Collector,MAJOR,DUKE ST E,QUEEN ST N,FREDERICK ST,2,22,15,29,REGIONAL RD 63,2,REG,TwoWay,REG PLAN 348,4/22/2003 12:00:00 AM,50,5241,2015,24HR,125.413959231399
57079,10199,Arterial,MAJOR,OTTAWA ST N,DREGER AVE,FRANKLIN ST N,,,,,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 1055,12/18/2003 12:00:00 AM,50,22879,2015,7-7 MON-SAT,182.140060630986
57080,10487,Arterial,MAJOR,LANCASTER ST W,ELIZABETH ST,CLIFTON RD,295,299,,,REGIONAL RD 29,2,REG,TwoWay,REG PLAN 666,4/22/2003 12:00:00 AM,50,12582,2015,24HR,26.7242926441976
57081,12416,Arterial,MAJOR,LANCASTER ST W,BRIDGEPORT RD,LANG CRES,531,531,526,528,REGIONAL RD 29,4,REG,TwoWay,58R-3141,2/10/2003 12:00:00 AM,50,19984,2015,24HR,99.5838166744755
57082,602126,Roundabout,MAJOR,IRA NEEDLES BLVD,IRA NEEDLES BLVD,HIGHLAND RD W,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,12/22/2006 12:00:00 AM,50,35030,2015,24HR,35.8533121941799
57087,6306,Arterial,MAJOR,OTTAWA ST S,VALLEYVIEW RD,NINE PINES RD,1265,1275,,,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 748,8/13/2002 12:00:00 AM,60,20540,2015,24HR,79.1646366080385
57088,6292,Arterial,MAJOR,OTTAWA ST S,WILLIAMSBURG RD,VALLEYVIEW RD,1239,1257,1228,1254,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 748,8/13/2002 12:00:00 AM,60,18129,2015,24HR,164.701575599517
57092,22626,Arterial,MAJOR,NEW DUNDEE RD,PINNACLE DR,ROBERT FERRIE DR,525,547,398,448,REGIONAL RD 12,2,REG,TwoWay,PLAN 675,2/9/2004 12:00:00 AM,80,7824,2015,24HR,802.254572325059
57097,6946,Arterial,MAJOR,VICTORIA ST N,FILBERT ST,DUNHAM AVE,528,528,529,537,REGIONAL RD 55,4,REG,TwoWay,GIS STAFF,6/10/2003 12:00:00 AM,50,27109,2015,24HR,95.8329647879354
57098,12688,Arterial,MAJOR,VICTORIA ST N,EDNA ST,BRUCE ST,632,800,607,663,REGIONAL RD 55,5,REG,TwoWay,MCP 763,4/22/2003 12:00:00 AM,60,32036,2015,24HR,513.023040348058
57099,12691,Arterial,MAJOR,EDNA ST,VICTORIA ST N,C_PKY STR OFFRAMP,36,46,29,53,REGIONAL RD 62,4,REG,TwoWay,REG PLAN 653,4/22/2003 12:00:00 AM,50,13363,2015,24HR,137.184088335234
57100,12667,Arterial,MAJOR,BRUCE ST,C_PKY WAT OFFRAMP,C_PKY WAT ONRAMP,,,,,REGIONAL RD 61,4,REG,TwoWay,QC,12/18/2003 12:00:00 AM,50,19198,2015,7-7 MON-SAT,9.52695102170982
57108,40198,Arterial,MAJOR,WESTMOUNT RD E,TILLSLEY DR,FISCHER HALLMAN RD,,,,,REGIONAL RD 50,4,REG,TwoWay,REG PLAN 58M-78,8/13/2002 12:00:00 AM,60,13477,2015,24HR,345.961990334288
57131,8933,Arterial,MAJOR,CHARLES ST W,WATER ST S,FRANCIS ST S,,,,,REGIONAL RD 64,3,REG,TwoWay,,,50,8811,2015,24HR,163.270397310905
57132,5730,Arterial,MAJOR,QUEEN ST S,BROCK ST,HIGHLAND RD W,753,775,744,790,REGIONAL RD  6,4,REG,TwoWay,REG PLAN 158,4/22/2003 12:00:00 AM,50,15742,2015,24HR,94.0962750901081
57143,10381,Arterial,MAJOR,LANCASTER ST W,ASH ST,UNION ST,321,383,308,392,REGIONAL RD 29,2,REG,TwoWay,REG PLAN 666,4/22/2003 12:00:00 AM,50,14076,2015,24HR,216.963110286847
57191,23069,Arterial,MAJOR,FAIRWAY RD N,CHICOPEE PARK CRT,RIVER RD E,264,264,,,REGIONAL RD 53,4,REG,TwoWay,REG PLAN 1114,5/30/2003 12:00:00 AM,50,15753,2015,7-7 MON-SAT,114.32370210507
57192,23037,Arterial,MAJOR,RIVER RD E,FAIRWAY RD N,SCENIC DR,,,1401,1401,REGIONAL RD 56,4,REG,TwoWay,REG PLAN 1114,5/30/2003 12:00:00 AM,60,7844,2015,7-7 MON-SAT,259.982498340729
57219,6968,Arterial,MAJOR,VICTORIA ST N,HERMIE PL,LANCASTER ST W,338,360,341,343,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 33,4/22/2003 12:00:00 AM,50,23226,2015,24HR,65.1792856363358
57257,602123,Roundabout,MAJOR,IRA NEEDLES BLVD,HIGHLAND RD W,IRA NEEDLES BLVD,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,12/22/2006 12:00:00 AM,50,35030,2015,24HR,33.0889658204281
57258,602096,Arterial,MAJOR,HIGHLAND RD W,IRA NEEDLES BLVD,GLASGOW ST,1535,1575,1500,1572,REGIONAL RD  6,2,REG,TwoWay,REG PLAN 1790,4/22/2003 12:00:00 AM,50,7035,2015,24HR,311.825395805524
57259,602125,Roundabout,MAJOR,IRA NEEDLES BLVD,HIGHLAND RD W,IRA NEEDLES BLVD,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,12/22/2006 12:00:00 AM,50,35030,2015,24HR,30.9657590153863
57261,5589,Arterial,MAJOR,HIGHLAND RD W,WESTFOREST TRAIL,IRA NEEDLES BLVD,1413,1413,1358,1460,REGIONAL RD  6,2,REG,TwoWay,REG PLAN 1790,4/22/2003 12:00:00 AM,70,11122,2015,24HR,712.201715874917
57267,1746,Arterial,MAJOR,KING ST W,LOUISA ST,AGNES ST,679,693,690,690,REGIONAL RD 15,2,REG,TwoWay,REG PLAN 377,4/22/2003 12:00:00 AM,50,22102,2015,24HR,66.1577271137141
57268,1734,Arterial,MAJOR,KING ST W,BREITHAUPT ST,WELLINGTON ST S,607,641,600,624,REGIONAL RD 15,3,REG,TwoWay,REG PLAN 437,4/22/2003 12:00:00 AM,50,23971,2015,24HR,169.869321240698
57284,9222,Arterial,MAJOR,CHARLES ST E,KENT AVE,BORDEN AVE S,432,480,445,485,REGIONAL RD 64,3,REG,TwoWay,,,50,12440,2015,24HR,270.598879382453
57303,8515,Arterial,MAJOR,VICTORIA ST S,PAULANDER DR,WEICHEL ST,643,663,614,640,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 1168,4/22/2003 12:00:00 AM,50,19820,2015,24HR,164.245047456965
57310,6798,Arterial,MAJOR,VICTORIA ST N,CHESTNUT ST,LOCUST ST,396,396,411,415,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 354,4/22/2003 12:00:00 AM,50,27780,2015,24HR,98.1145281795436
57311,6794,Arterial,MAJOR,VICTORIA ST N,LOCUST ST,FILBERT ST,480,480,495,507,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 157,4/22/2003 12:00:00 AM,50,27311,2015,24HR,96.350167695685
57312,5898,Arterial,MAJOR,VICTORIA ST N,KING ST W,DUKE ST W,16,60,45,55,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 374,4/22/2003 12:00:00 AM,50,14774,2007,24HR,251.991183109318
57318,12100,Arterial,MAJOR,VICTORIA ST N,FORWELL RD,CENTENNIAL RD,1572,1764,1575,1705,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 1698,4/22/2003 12:00:00 AM,70,29380,2015,24HR,652.774682134198
57326,6377,Arterial,MAJOR,OTTAWA ST S,HOWLAND DR,MOWAT BLVD,,,,,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 1242,8/13/2002 12:00:00 AM,50,18309,2015,24HR,96.4434164378793
57342,25601,Arterial,MAJOR,HURON RD,HOMER WATSON ONRAMP,HOMER WATSON OFFRAMP,,,,,REGIONAL RD 28,2,REG,TwoWay,REG PLAN 576,4/22/2003 12:00:00 AM,50,6257,2015,7-7 MON-SUN,306.452159948104
57349,22350,Arterial,MAJOR,WEBER ST E,FERGUS AVE,KINZIE AVE,1334,1426,1335,1425,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 589,5/30/2003 12:00:00 AM,50,23134,2015,7-7 MON-FRI,324.873212788171
57387,20652,Arterial,MAJOR,FISCHER HALLMAN RD,VICTORIA ST S,BANKSIDE DR,,,,,REGIONAL RD 58,6,REG,TwoWay,REG PLAN 1713,4/22/2003 12:00:00 AM,60,24237,2015,24HR,353.998849328516
57388,20631,Arterial,MAJOR,VICTORIA ST S,MONTE CARLO ST,FISCHER HALLMAN RD,,,,,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 1257,4/22/2003 12:00:00 AM,50,17868,2015,24HR,264.743413296241
57443,6787,Arterial,MAJOR,VICTORIA ST N,ELLEN ST W,ST LEGER ST,264,264,239,277,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 374,4/22/2003 12:00:00 AM,50,22732,2015,24HR,159.880053608911
57444,22928,Arterial,MAJOR,OTTAWA ST N,MIDLAND DR,CROSBY DR,,,,,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 1055,12/18/2003 12:00:00 AM,50,23175,2015,7-7 MON-SAT,180.051859681184
57468,12677,Arterial,MAJOR,BRUCE ST,VICTORIA ST N,C_PKY WAT ONRAMP,,,25,37,REGIONAL RD 61,4,REG,TwoWay,QC,12/18/2003 12:00:00 AM,50,12505,2015,24HR,129.41026496015
57469,12675,Arterial,MAJOR,BRUCE ST,C_PKY WAT OFFRAMP,EPHRAIM ST,52,56,53,63,REGIONAL RD 61,4,REG,TwoWay,QC,12/18/2003 12:00:00 AM,50,9338,2015,7-7 MON-SAT,64.8921254340135
57498,11450,Arterial,MAJOR,COURTLAND AVE E,CARWOOD AVE,C_PKY STR OFFRAMP,,,,,REGIONAL RD 53,5,REG,TwoWay,REG PLAN 384,4/22/2003 12:00:00 AM,50,16106,2015,24HR,180.954326449755
57499,11743,Arterial,MAJOR,OTTAWA ST S,HOFFMAN ST,KEHL ST,425,483,426,514,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 384,4/22/2003 12:00:00 AM,50,16417,2015,24HR,294.530718323532
57507,6565,Arterial,MAJOR,WESTMOUNT RD E,STONYBROOK DR,GILMOUR CRES,338,352,335,355,REGIONAL RD 50,4,REG,TwoWay,REG PLAN 883,4/22/2003 12:00:00 AM,50,19465,2015,7-7 MON-FRI,111.863358165694
57517,7064,Arterial,MAJOR,WEBER ST W,LOUISA ST,WILHELM ST,,,200,200,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 275,4/22/2003 12:00:00 AM,50,18035,2015,7-7 MON-FRI,167.902291977237
57524,10182,Arterial,MAJOR,WEBER ST E,EAST AVE,OTTAWA ST N,,,,,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 299,4/22/2003 12:00:00 AM,50,16947,2015,7-7 MON-FRI,20.287077284695
57525,6479,Arterial,MAJOR,WEBER ST W,ONTARIO ST N,YOUNG ST,35,41,28,56,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 401,4/22/2003 12:00:00 AM,50,19478,2015,7-7 MON-FRI,168.674452149797
57540,20717,Arterial,MAJOR,HIGHLAND RD W,HIGHLAND CRES,FIELDGATE ST,563,563,550,554,REGIONAL RD  6,4,REG,TwoWay,REG PLAN 1308,4/22/2003 12:00:00 AM,60,14183,2015,24HR,338.28041134131
57543,9919,Arterial,MAJOR,VICTORIA ST N,TURNER AVE,FREDERICK ST,990,1080,991,1069,REGIONAL RD 55,6,REG,TwoWay,REG PLAN 705,4/22/2003 12:00:00 AM,60,31708,2015,24HR,347.264662339751
57609,601699,Arterial,MAJOR,BLEAMS RD,COMMONWEALTH ST,FORESTWALK ST,,,,,REGIONAL RD 56,2,REG,TwoWay,58M-344,2/18/2005 12:00:00 AM,70,5841,2015,24HR,349.902427365043
57610,11521,Arterial,MAJOR,COURTLAND AVE E,C_PKY STR OFFRAMP,C_PKY STR ONRAMP,,,,,REGIONAL RD 53,5,REG,TwoWay,MCP 791,4/22/2003 12:00:00 AM,50,21527,2015,24HR,15.5657572891268
57661,11390,Arterial,MAJOR,COURTLAND AVE E,STIRLING AVE S,STIRLING AVE S,,,,,REGIONAL RD 53,4,REG,TwoWay,REG PLAN 368,4/22/2003 12:00:00 AM,50,21822,2015,24HR,51.6157511235864
57664,5735,Arterial,MAJOR,QUEEN ST S,HOMEWOOD AVE,WOODSIDE AVE,,,,,REGIONAL RD  6,3,REG,TwoWay,REG PLAN 297,4/22/2003 12:00:00 AM,50,16739,2015,24HR,31.7128361332156
57705,11156,Arterial,MAJOR,FREDERICK ST,LANCASTER ST E,GORDON AVE,222,240,209,245,REGIONAL RD  6,2,REG,TwoWay,REG PLAN 425,4/22/2003 12:00:00 AM,50,14690,2015,7-7 MON-SAT,175.964332959996
57706,7047,Arterial,MAJOR,VICTORIA ST N,LANCASTER ST W,CHESTNUT ST,366,376,361,381,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 79,4/22/2003 12:00:00 AM,50,26013,2015,24HR,146.137516990085
57717,23200,Arterial,MAJOR,OTTAWA ST N,MONTCALM DR,MCGEE AVE,,,,,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 1202,12/18/2003 12:00:00 AM,50,15272,2015,24HR,304.200809067131
57718,22593,Arterial,MAJOR,OTTAWA ST N,SHAFTSBURY DR,HERITAGE DR,,,1335,1335,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 1589,4/22/2003 12:00:00 AM,50,12777,2015,24HR,93.9552211084072
57764,11322,Arterial,MAJOR,BENTON ST,HALLS LANE E,CHARLES ST E,17,19,26,28,REGIONAL RD  6,4,REG,TwoWay,,,50,7583,2015,24HR,38.7384876370615
57765,11320,Arterial,MAJOR,BENTON ST,KING ST E,HALLS LANE E,11,11,,,REGIONAL RD  6,4,REG,TwoWay,,,50,9629,2015,24HR,66.0804107718604
57798,6104,Arterial,MAJOR,HIGHLAND RD W,HIGHLAND CRES,FISCHER HALLMAN RD,775,775,780,780,REGIONAL RD  6,6,REG,TwoWay,REG PLAN 1445,4/22/2003 12:00:00 AM,60,13700,2015,24HR,183.805016287455
57857,15732,Arterial,MAJOR,VICTORIA ST N,RIVER RD E,TURNER AVE,932,952,933,971,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 705,4/22/2003 12:00:00 AM,60,31767,2015,24HR,211.272314994544
57861,11661,Arterial,MAJOR,COURTLAND AVE E,PALMER AVE,KENT AVE,320,346,321,325,REGIONAL RD 53,2,REG,TwoWay,REG PLAN 239,4/22/2003 12:00:00 AM,50,11994,2015,24HR,177.064718415261
57867,6788,Arterial,MAJOR,FREDERICK ST,IRVIN ST,OTTO ST,166,172,155,171,REGIONAL RD  6,4,REG,TwoWay,REG PLAN 32,4/22/2003 12:00:00 AM,50,10280,2015,7-7 MON-SAT,74.1242425667965
57868,6750,Arterial,MAJOR,FREDERICK ST,OTTO ST,LANCASTER ST E,200,200,181,197,REGIONAL RD  6,4,REG,TwoWay,REG PLAN 392,4/22/2003 12:00:00 AM,50,11842,2015,7-7 MON-SAT,141.813314629316
57888,21720,Arterial,MAJOR,TRUSSLER RD,C_PKY STR ONRAMP,REG RD 70 TO HWY 7/8 E_BND,,,,,REGIONAL RD 70,4,REG,TwoWay,REG PLAN 1600,12/12/2003 12:00:00 AM,50,19376,2015,24HR,151.268449882636
57889,21087,Arterial,MAJOR,TRUSSLER RD,C_PKY STR OFFRAMP,C_PKY STR ONRAMP,,,,,REGIONAL RD 70,3,REG,TwoWay,REG PLAN 1600,12/12/2003 12:00:00 AM,50,24509,2015,24HR,13.7304612708187
57892,21589,Arterial,MAJOR,TRUSSLER RD,OTTAWA ST S,KNECHTEL CRT,,,,,REGIONAL RD 70,2,REG,TwoWay,58R-3440,12/12/2003 12:00:00 AM,70,7640,2015,24HR,198.859888772335
57908,11646,Arterial,MAJOR,CHARLES ST E,STIRLING AVE S,KENT AVE,,,,,REGIONAL RD 64,3,REG,TwoWay,,,50,12662,2015,24HR,100.792503289471
57910,12662,Arterial,MAJOR,VICTORIA ST N,BRUCE ST,RIVER RD E,808,930,801,907,REGIONAL RD 55,6,REG,TwoWay,GIS STAFF,6/10/2003 12:00:00 AM,60,35578,2015,24HR,452.496750789737
57945,20900,Arterial,MAJOR,WESTMOUNT RD E,GATEWOOD RD,FOREST HILL DR,,,73,85,REGIONAL RD 50,4,REG,TwoWay,REG PLAN 876,4/22/2003 12:00:00 AM,50,20037,2015,7-7 MON-FRI,87.7642596762354
57946,5739,Arterial,MAJOR,QUEEN ST S,MILL ST,HOMEWOOD AVE,533,675,520,662,REGIONAL RD  6,3,REG,TwoWay,REG PLAN 89,4/22/2003 12:00:00 AM,50,17238,2015,24HR,251.711539778454
57961,21733,Arterial,MAJOR,OTTAWA ST S,WINDFLOWER DR,PROSPERITY DR,1825,1825,1768,1768,REGIONAL RD  4,2,REG,TwoWay,58M-55,7/29/2003 12:00:00 AM,50,6016,2015,24HR,395.854200448814
57962,600351,Arterial,MAJOR,OTTAWA ST S,PROSPERITY DR,WILSONS RD,,,,,REGIONAL RD  4,3,REG,TwoWay,58M-224,4/22/2003 12:00:00 AM,50,6576,2015,24HR,107.114482138399
58037,20737,Arterial,MAJOR,HIGHLAND RD W,FISCHER HALLMAN RD,WESTHEIGHTS DR,875,875,950,950,REGIONAL RD  6,4,REG,TwoWay,REG PLAN 1384,4/22/2003 12:00:00 AM,60,14283,2015,24HR,538.205778082629
58038,7041,Arterial,MAJOR,LANCASTER ST W,LOUISA ST,HILLVIEW ST,101,121,102,122,REGIONAL RD 29,2,REG,TwoWay,REG PLAN 671,4/22/2003 12:00:00 AM,50,15064,2015,24HR,96.3741120166668
58041,21709,Arterial,MAJOR,TRUSSLER RD,REG RD 70 TO HWY 7/8 E_BND,HWY 7/8 E_BND TO REG RD 70,,,,,REGIONAL RD 70,4,REG,TwoWay,REG PLAN 1600,12/12/2003 12:00:00 AM,50,20914,2015,24HR,15.6674384103344
58042,21725,Arterial,MAJOR,TRUSSLER RD,REG RD 70 TO HWY 7/8 E_BND,REG RD 70 TO HWY 7/8 E_BND,,,,,REGIONAL RD 70,4,REG,TwoWay,REG PLAN 1600,12/12/2003 12:00:00 AM,50,19376,2015,24HR,66.2315365404354
58051,602316,Roundabout,MAJOR,FISCHER HALLMAN RD,HURON RD,FISCHER HALLMAN RD,,,,,REGIONAL RD 58,2,REG,FromTo,REGION,10/4/2007 12:00:00 AM,60,17003,2015,24HR,35.3901146313434
58052,602318,Roundabout,MAJOR,FISCHER HALLMAN RD,FISCHER HALLMAN RD,HURON RD,,,,,REGIONAL RD 58,2,REG,FromTo,REGION,10/4/2007 12:00:00 AM,60,17003,2015,24HR,33.7080231082142
58053,602319,Roundabout,MAJOR,FISCHER HALLMAN RD,FISCHER HALLMAN RD,HURON RD,,,,,REGIONAL RD 58,2,REG,FromTo,REGION,10/4/2007 12:00:00 AM,60,17003,2015,24HR,35.1070889299947
58054,602323,Roundabout,MAJOR,FISCHER HALLMAN RD,HURON RD,FISCHER HALLMAN RD,,,,,REGIONAL RD 58,2,REG,FromTo,REGION,10/4/2007 12:00:00 AM,60,17003,2015,24HR,34.4663868002709
58055,6608,Arterial,MAJOR,BENTON ST,ST GEORGE ST,COURTLAND AVE E,93,135,112,120,REGIONAL RD  6,4,REG,TwoWay,UNKNKOWN,4/22/2003 12:00:00 AM,50,7797,2015,24HR,197.429568517031
58085,6137,Arterial,MAJOR,FISCHER HALLMAN RD,FOREST HILL DR,MCGARRY DR,294,330,291,321,REGIONAL RD 58,5,REG,TwoWay,REG PLAN 1057,4/22/2003 12:00:00 AM,50,25216,2015,24HR,173.88114813035
58086,12931,Arterial,MAJOR,BRIDGE ST E,HOLLINGER CRES,HOLLINGER CRES,,,,,REGIONAL RD 52,2,REG,TwoWay,,,60,8949,2015,24HR,218.086851864399
58091,13095,Arterial,MAJOR,BLOOMINGDALE RD,BRIDGE ST E,HORNING DR,9,13,8,8,REGIONAL RD 20,3,REG,TwoWay,,,50,8471,2015,24HR,82.7990239251634
58101,6707,Arterial,MAJOR,BENTON ST,CHURCH ST,ST GEORGE ST,69,87,64,90,REGIONAL RD  6,4,REG,TwoWay,UNKNOWN,4/22/2003 12:00:00 AM,50,3970,2015,24HR,131.788852381201
58102,11314,Arterial,MAJOR,BENTON ST,CHARLES ST E,CHURCH ST,33,51,30,54,REGIONAL RD  6,5,REG,TwoWay,,,50,7835,2015,24HR,93.8376680657663
58118,9421,Arterial,MAJOR,TRUSSLER RD,KNECHTEL CRT,BLEAMS RD,808,808,,,REGIONAL RD 70,3,REG,TwoWay,58R-3440,12/12/2003 12:00:00 AM,70,8111,2015,24HR,355.588280640437
58120,21127,Arterial,MAJOR,TRUSSLER RD,YELLOW BIRCH DR,C_PKY STR OFFRAMP,,,,,REGIONAL RD 70,5,REG,TwoWay,REG PLAN 1600,4/22/2003 12:00:00 AM,50,22086,2015,24HR,139.474330303046
58130,11449,Arterial,MAJOR,OTTAWA ST S,MILL ST,PATTANDON AVE,,,358,358,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 384,4/22/2003 12:00:00 AM,50,18222,2015,24HR,52.6905219481153
58131,11457,Arterial,MAJOR,OTTAWA ST S,MILL ST,MILL ST,,,,,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 384,4/22/2003 12:00:00 AM,50,16153,2015,24HR,43.4101543596309
58148,8793,Arterial,MAJOR,VICTORIA ST S,BRAMM ST,THERESA ST,135,145,130,148,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 143,4/22/2003 12:00:00 AM,50,20442,2015,24HR,69.6276188012021
58149,8791,Arterial,MAJOR,VICTORIA ST S,MICHAEL ST,BRAMM ST,131,131,120,120,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 143,4/22/2003 12:00:00 AM,50,20612,2015,24HR,16.7293753615027
