OBJECTID,CATEGORY,SUBCATEGORY,SOURCE,SOURCE_DATE,STATUS,STATUS_DATE,CREATE_DATE,UPDATE_DATE,ANGLE,PARKINGFACILITYID,PARKINGFEATUREID,OWNERSHIP,LOCATION_DESCRIPTION,ARROW_DIRECTION,SIDE_OF_ROAD,Greenp Order,x,y
2116,GREEN P PARKING SIGN,PARKING,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,7/21/2011 9:59:04 AM,7/21/2011 9:59:04 AM,8/21/2020 1:40:19 PM,,2023,27557,KITCHENER,DUKE ST PARKING GARAGE ENTRANCE,P,SOUTH,44,-8960018.69250103,5380894.19370901
2120,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/19/2011 9:21:42 AM,7/19/2011 9:21:42 AM,4/2/2020 4:21:13 PM,,,27488,KITCHENER,FREDERICK ST AT OTTO ST ON LIGHT POLE,STRAIGHT/RIGHT,WEST,13,-8959337.61809693,5381195.87545201
2121,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/19/2011 9:24:40 AM,7/19/2011 9:24:40 AM,4/2/2020 4:21:13 PM,,,27489,KITCHENER,FREDERICK ST AT WEBER ST E ON LIGHT POLE,STRAIGHT/LEFT/RIGHT,WEST,14,-8959624.63642214,5380986.19295731
2122,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/19/2011 9:27:49 AM,7/19/2011 9:27:49 AM,4/2/2020 4:21:13 PM,,,27491,KITCHENER,FREDERICK ST AT DUKE ST E ON POLE,STRAIGHT/RIGHT,WEST,10,-8959747.57905249,5380823.06878928
2125,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/19/2011 2:47:33 PM,7/19/2011 2:47:33 PM,4/2/2020 4:21:13 PM,,,27498,KITCHENER,QUEEN ST N AT DUKE ST W ON LIGHT POLE,STRAIGHT/RIGHT,WEST,19,-8959917.92621947,5380871.07197853
2126,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/19/2011 3:08:49 PM,7/19/2011 3:08:49 PM,4/2/2020 4:21:13 PM,,,27499,KITCHENER,QUEEN ST S AT HALLS LN E ON LIGHT POLE,STRAIGHT/RIGHT,EAST,21,-8960028.15736766,5380643.97675063
2127,GREEN P PARKING SIGN,PARKING AHEAD,ORTHO 2016,5/15/2016 12:00:00 AM,ACTIVE,7/19/2011 3:10:05 PM,7/19/2011 3:10:05 PM,4/2/2020 4:21:13 PM,,,27500,KITCHENER,QUEEN ST N AT GOUDIES LN AT LIGHT POLE,STRAIGHT/LEFT,EAST,20,-8959946.61431012,5380793.25335387
2129,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/19/2011 3:51:39 PM,7/19/2011 3:51:39 PM,4/2/2020 4:21:13 PM,,,27502,KITCHENER,VICTORIA ST S AT HALLS LN W ON LIGHT POLE,RIGHT,EAST,23,-8961025.20578241,5381089.12346229
2130,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/19/2011 3:58:15 PM,7/19/2011 3:58:15 PM,4/2/2020 4:21:13 PM,,,27503,KITCHENER,WEBER ST E AT FREDERICK ST ON LIGHT POLE,STRAIGHT/RIGHT,SOUTH,27,-8959699.94573954,5380927.36005168
2131,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/19/2011 4:02:16 PM,7/19/2011 4:02:16 PM,4/2/2020 4:21:13 PM,,,27504,KITCHENER,WEBER ST E AT CEDAR ST N ON POLE,RIGHT,SOUTH,25,-8959274.71463793,5380659.43055485
2132,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/19/2011 4:05:41 PM,7/19/2011 4:05:41 PM,4/2/2020 4:21:13 PM,,,27505,KITCHENER,WEBER ST E AT CEDAR ST N ON LIGHT POLE,STRAIGHT/LEFT,NORTH,24,-8959101.47676684,5380581.56502394
2133,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/19/2011 4:07:51 PM,7/19/2011 4:07:51 PM,4/2/2020 4:21:13 PM,,,27506,KITCHENER,WEBER ST E AT FREDERICK ST ON LIGHT POLE,STRAIGHT/LEFT,NORTH,26,-8959576.37636053,5380880.03574266
2135,ENTRANCE,CIVIC DISTRICT GARAGE,ORTHO 2016,9/29/2010 12:00:00 AM,ACTIVE,12/12/2011 4:33:27 PM,12/12/2011 4:33:27 PM,1/3/2019 12:27:51 PM,120,5903,28618,KITCHENER,CIVIC DISTRICT GARAGE,,N\A,,-8959750.40128401,5381115.45359707
2137,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/18/2011 2:19:50 PM,7/18/2011 2:19:50 PM,4/2/2020 4:21:13 PM,,,27478,KITCHENER,KING ST E AT MADISON AVE N ON LIGHT POLE,STRAIGHT/LEFT,NORTH,18,-8959232.41164539,5380228.10740251
2138,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/18/2011 2:38:58 PM,7/18/2011 2:38:58 PM,11/1/2023 9:58:17 AM,,,27479,KITCHENER,KING ST E AT CEDAR ST N ON LIGHT POLE,STRAIGHT,NORTH,16,-8959319.07070585,5380286.18682121
2140,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/18/2011 2:54:53 PM,7/18/2011 2:54:53 PM,4/2/2020 4:21:13 PM,,,27481,KITCHENER,KING ST E AT BENTON ST ON LIGHT POLE,STRAIGHT/LEFT,SOUTH,15,-8959866.27998841,5380594.78932536
2141,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/18/2011 2:57:58 PM,7/18/2011 2:57:58 PM,4/2/2020 4:21:13 PM,,2085,27482,KITCHENER,KING ST E AT CEDAR ST S ON LIGHT POLE,LEFT,SOUTH,17,-8959431.24367072,5380335.46937183
2143,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/18/2011 4:03:49 PM,7/18/2011 4:03:49 PM,4/2/2020 4:21:13 PM,,,27484,KITCHENER,CHARLES ST E AT CEDAR ST S ON LIGHT POLE,LEFT,SOUTH,3,-8959501.46721998,5380206.18528405
2144,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/18/2011 4:09:16 PM,7/18/2011 4:09:16 PM,4/2/2020 4:21:13 PM,,,27485,KITCHENER,CHARLES ST W AT ONTARIO ST S ON LIGHT POLE,STRAIGHT/LEFT,NORTH,4,-8960281.0695125,5380669.4475403
2147,GREEN P PARKING SIGN,PARKING AHEAD,2009 ORTHO,,ACTIVE,7/21/2011 10:11:50 AM,7/21/2011 10:11:50 AM,8/21/2020 11:38:36 AM,,2085,27559,KITCHENER,DUKE ST E AT CEDAR ST N ON LIGHT POLE,RIGHT,SOUTH,6,-8959302.88860293,5380493.79934955
2148,ENTRANCE ARROW,LOT 2,ORTHO 2016,5/15/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,2/11/2004 3:59:43 PM,1/3/2019 12:27:51 PM,30,2043,569,KITCHENER,LOT 2,,N\A,,-8959898.38297931,5380733.2361878
2149,EXIT,LOT 15,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:46 PM,8/8/2007 9:21:45 AM,1/3/2019 12:27:51 PM,21,4769,676,KITCHENER,LOT 15,,N\A,,-8960584.26345692,5380623.3415516
2151,ENTRANCE,CHARLES BENTON PARKING GARAGE,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,2/11/2004 3:19:16 PM,1/3/2019 12:27:51 PM,36,3130,562,KITCHENER,CHARLES BENTON PARKING GARAGE,,N\A,,-8960031.02783385,5380532.27399563
2153,ENTRANCE,LOT 23,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:46 PM,2/11/2004 4:20:28 PM,1/3/2019 12:27:51 PM,30,2104,580,KITCHENER,LOT 23,,N\A,,-8959671.81076675,5380391.09540144
2154,ENTRANCE,LOT 27,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,2/12/2004 10:24:18 AM,1/3/2019 12:27:51 PM,300,2021,591,KITCHENER,LOT 27,,N\A,,-8960093.3551854,5380890.90542089
2157,ENTRANCE ARROW,CITY HALL,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,2/12/2004 8:58:28 AM,1/3/2019 12:27:51 PM,296,1989,587,KITCHENER,CITY HALL,,N\A,,-8960309.51011344,5380987.76295657
2159,ENTRANCE ARROW,DO RSRVD,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:46 PM,2/12/2004 8:55:33 AM,1/3/2019 12:27:51 PM,210,2023,584,KITCHENER,DUKE PARKING GARAGE,,N\A,,-8960016.82412493,5380890.30041546
2160,ENTRANCE,LOT 24,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,10/31/2011 2:22:01 PM,10/31/2011 2:22:01 PM,1/3/2019 12:27:51 PM,308,5823,28150,KITCHENER,LOT 24,,N\A,,-8961501.75236004,5380727.8016785
2161,ENTRANCE,LOT 24,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,10/31/2011 2:19:29 PM,10/31/2011 2:19:29 PM,1/3/2019 12:27:51 PM,38,5823,28149,KITCHENER,LOT 24,,N\A,,-8961649.4255699,5380605.37838099
2163,ENTRANCE,LOT 9,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:46 PM,2/11/2004 4:09:08 PM,1/3/2019 12:27:51 PM,300,2049,573,KITCHENER,LOT 9,,N\A,,-8960207.03599858,5380690.23832532
2167,ENTRANCE,LOT 23,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:46 PM,2/11/2004 4:19:37 PM,1/3/2019 12:27:51 PM,210,2104,579,KITCHENER,LOT 23,,N\A,,-8959636.53091298,5380458.06879668
2168,ENTRANCE ARROW,LOT 13,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:46 PM,2/11/2004 4:11:11 PM,1/3/2019 12:27:51 PM,23,2151,574,KITCHENER,LOT 13,,N\A,,-8962295.33316647,5381743.61434876
2170,EXIT,LOT 19B,ORTHO 2016,5/15/2016 12:00:00 AM,ACTIVE,8/26/2014 8:59:39 AM,12/15/2011 4:02:26 PM,1/3/2019 12:27:51 PM,30,7272,28698,KITCHENER,LOT 19B (KPL AND QUEEN ST N),,N\A,,-8959665.22421022,5381208.93011274
2178,ENTRANCE ARROW,LOT 3,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,2/11/2004 3:25:23 PM,9/11/2017 1:03:39 PM,290,2013,563,,,,NOT APPLI*,,-8960673.1872723,5380876.39419909
2180,ENTRANCE,LOT 12,ORTHO 2016,5/10/1016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,2/12/2004 12:20:32 PM,1/3/2019 12:27:51 PM,114,2152,598,WRDSB,LOT 12,,N\A,,-8962356.38270463,5381581.1776182
2181,ENTRANCE,KCI-ARENA,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:46 PM,2/12/2004 12:17:23 PM,1/3/2019 12:27:51 PM,205,6132,596,KITCHENER,KCI-ARENA,,N\A,,-8962224.12521619,5381450.32461018
2182,EXIT,,ORTHO,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,7/26/2011 4:19:27 PM,200,,201,,,,NOT APPLI*,,-8960626.13654059,5380920.84525476
2183,ENTRANCE,,ORTHO,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,7/26/2011 4:19:27 PM,20,,202,,,,NOT APPLI*,,-8960628.19564957,5380916.10325005
2184,ENTRANCE,,ORTHO,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,7/26/2011 4:19:27 PM,205,,203,,,,NOT APPLI*,,-8960426.33113545,5380833.0264229
2185,EXIT,,ORTHO,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,7/26/2011 4:19:27 PM,25,,204,,,,NOT APPLI*,,-8960428.04575468,5380829.30122283
2186,EXIT,,ORTHO,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,7/26/2011 4:19:27 PM,115,131,205,,,,NOT APPLI*,,-8960391.12308867,5380723.79785816
2187,ENTRANCE,,ORTHO,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,7/26/2011 4:19:27 PM,295,131,206,,,,NOT APPLI*,,-8960387.07273518,5380722.07508521
2188,LIGHT POLE,LOT 9,ORTHO 2016,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,1/3/2019 12:27:51 PM,,2049,207,KITCHENER,LOT 9,,N\A,,-8960238.50208271,5380715.52153
2191,LIGHT POLE,,ORTHO,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,1/3/2019 12:27:51 PM,,114,210,PRIVATE,PROVINCIAL COURT HOUSE,,N\A,,-8959555.47507166,5380800.49700378
2192,LIGHT POLE,,ORTHO,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,1/3/2019 12:27:51 PM,,114,211,PRIVATE,PROVINCIAL COURT HOUSE,,N\A,,-8959614.43264855,5380733.28098737
2193,EXIT,,ORTHO,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,7/26/2011 4:19:27 PM,50,,212,,,,NOT APPLI*,,-8959641.00897844,5380978.9826651
2194,ENTRANCE,,ORTHO,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,7/26/2011 4:19:27 PM,230,,213,,,,NOT APPLI*,,-8959636.92732437,5380982.35350423
2195,ENTRANCE,,ORTHO,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,7/26/2011 4:19:27 PM,30,68,214,,,,NOT APPLI*,,-8959778.19737625,5381067.79159755
2196,EXIT,,ORTHO,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,7/26/2011 4:19:27 PM,210,68,215,,,,NOT APPLI*,,-8959776.14405246,5381071.51467863
2199,ENTRANCE,,ORTHO,7/9/2003 3:52:58 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:58 PM,7/26/2011 4:19:27 PM,210,,221,,,,NOT APPLI*,,-8959581.86425122,5381021.40744623
2200,EXIT,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,7/26/2011 4:19:27 PM,30,,222,,,,NOT APPLI*,,-8959585.26496377,5381018.71162263
2201,ENTRANCE,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,3/16/2017 2:54:26 PM,125,,223,,,,NOT APPLI*,,-8959325.50158042,5381386.59096218
2202,EXIT,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,3/16/2017 2:54:26 PM,305,,224,,,,NOT APPLI*,,-8959321.22036622,5381383.38427239
2203,ENTRANCE,LOT 14,ORTHO 2016,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,245,1945,225,KITCHENER,LOT 14,,N\A,,-8959432.08137404,5381255.30353007
2204,EXIT,LOT 14,ORTHO 2016,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,245,1945,226,KITCHENER,LOT 14,,N\A,,-8959429.66563302,5381250.46690718
2206,LIGHT POLE,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,,29,228,PRIVATE,KAUFMAN LOFT PARKING LOT,,N\A,,-8960740.90934356,5381230.6616066
2207,LIGHT POLE,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,,29,229,PRIVATE,KAUFMAN LOFT PARKING LOT,,N\A,,-8960832.98672242,5381262.25114285
2208,LIGHT POLE,LOT 15,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,,4769,230,KITCHENER,LOT 15,,N\A,,-8960523.51937006,5380665.16568292
2209,LIGHT POLE,LOT 15,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,,4769,231,KITCHENER,LOT 15,,N\A,,-8960550.50359948,5380733.60775642
2210,EXIT,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,7/26/2011 4:19:27 PM,200,111,232,,,,NOT APPLI*,,-8960712.62165443,5380781.66947597
2212,LIGHT POLE,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,,111,234,PRIVATE,MANULIFE PARKING LOT,,N\A,,-8960720.88853552,5380788.49403378
2213,LIGHT POLE,LOT 15,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,,4769,235,KITCHENER,LOT 15,,N\A,,-8960583.21629286,5380652.02907174
2214,EXIT,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,7/26/2011 4:19:27 PM,40,166,236,,,,NOT APPLI*,,-8960390.03788547,5380501.46945696
2215,EXIT,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,7/26/2011 4:19:27 PM,115,65,237,,,,NOT APPLI*,,-8961020.42266407,5381080.01516454
2217,LIGHT POLE,LOT 3,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,,2013,241,KITCHENER,WATER ST S LOT,,N\A,,-8960790.48165394,5380925.41681282
2218,ENTRANCE,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,7/26/2011 4:19:27 PM,205,85,242,,,,NOT APPLI*,,-8960038.85211544,5380999.36787841
2219,PAY BOOTH,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,7/26/2011 4:19:27 PM,,111,243,,,,NOT APPLI*,,-8960717.26338446,5380786.90865774
2220,LIGHT POLE,LOT 16,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,,2011,244,KITCHENER,WATER ST S LOT,,N\A,,-8960707.4719366,5380920.88877161
2221,HANDICAP PARKING,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,7/26/2011 4:19:27 PM,,166,246,,,,NOT APPLI*,,-8960399.54112739,5380500.17559594
2225,EXIT,CHARLES BENTON PARKING GARAGE,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,36,3130,250,KITCHENER,CHARLES BENTON PARKING GARAGE,,N\A,,-8960039.27400525,5380535.97012359
2227,ENTRANCE,LOT 3,ORTHO 2016,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,290,2013,252,KITCHENER,LOT 3,,N\A,,-8960670.72359301,5380875.26107613
2229,LIGHT POLE,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,,145,255,PRIVATE,PRIVATE PARKING,,N\A,,-8960164.14095457,5380651.47810293
2230,PAY BOOTH,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,7/26/2011 4:19:27 PM,,166,256,,,,NOT APPLI*,,-8960387.45242506,5380503.85458851
2231,EXIT,LOT 22,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,1/3/2019 12:27:51 PM,210,2064,257,KITCHENER,LOT 22,,N\A,,-8960317.38794205,5380658.52471726
2234,ENTRANCE,,ORTHO,7/9/2003 3:52:59 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:52:59 PM,7/26/2011 4:19:27 PM,25,111,260,,,,NOT APPLI*,,-8960710.76824323,5380787.65090003
2236,LIGHT POLE,,ORTHO,7/9/2003 3:53:00 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,,166,262,KITCHENER,FAMILY MEDICAL CENTRE LOT,,N\A,,-8960397.69347338,5380526.85836611
2238,EXIT,LOT 16,ORTHO 2016,7/9/2003 3:53:00 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,110,2011,264,KITCHENER,LOT 16,,N\A,,-8960812.52856528,5380980.42436916
2239,EXIT,LOT 6,ORTHO 2016,7/9/2003 3:53:00 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,20,2002,266,KITCHENER,LOT 6,,N\A,,-8960764.30488756,5380963.7047952
2240,EXIT,CITY HALL,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,296,1989,267,KITCHENER,CITY HALL,,N\A,,-8960308.78121326,5380980.5589375
2241,ENTRANCE,,ORTHO,7/9/2003 3:53:00 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,7/26/2011 4:19:27 PM,220,166,269,,,,NOT APPLI*,,-8960386.06468325,5380506.84338825
2242,EXIT,,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,210,2023,270,KITCHENER,DUKE PARKING GARAGE,,N\A,,-8960020.51421492,5380895.49947617
2243,LIGHT POLE,,ORTHO,7/9/2003 3:53:00 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,,166,271,KITCHENER,FAMILY MEDICAL CENTRE LOT,,N\A,,-8960422.72746827,5380546.79736181
2244,ENTRANCE,LOT 16,ORTHO 2016,7/9/2003 3:53:00 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,110,2011,273,KITCHENER,LOT 16,,N\A,,-8960813.97274221,5380976.97800243
2246,HANDICAP PARKING,,2009 ORTHO,7/9/2003 3:53:00 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,,166,275,KITCHENER,,,N\A,,-8960404.07818608,5380504.04780443
2247,ENTRANCE,,ORTHO,7/9/2003 3:53:00 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,7/26/2011 4:19:27 PM,290,65,277,,,,NOT APPLI*,,-8961016.11879552,5381078.25728639
2248,EXIT,LOT 3,ORTHO,7/9/2003 3:53:00 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,290,2013,278,KITCHENER,,,N\A,,-8960672.71948729,5380870.20168028
2249,LIGHT POLE,LOT 16,ORTHO,7/9/2003 3:53:00 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,,2011,280,KITCHENER,WATER ST S LOT,,N\A,,-8960744.31848715,5380936.37082222
2250,ENTRANCE,,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,210,2023,281,KITCHENER,DUKE PARKING GARAGE,,N\A,,-8960015.27878381,5380892.8440954
2251,ENTRANCE,LOT 22,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,210,2064,282,KITCHENER,LOT 22,,N\A,,-8960320.91280043,5380660.06459515
2253,LIGHT POLE,LOT 16,ORTHO,7/9/2003 3:53:00 PM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,,2011,285,KITCHENER,WATER ST S LOT,,N\A,,-8960779.8936863,5380952.63436154
2254,LIGHT POLE,LOT 15,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,,4769,287,KITCHENER,LOT 15,,N\A,,-8960535.00089629,5380636.92755587
2255,LIGHT POLE,LOT 19B,ORTHO 2016,5/15/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,11/24/2003 3:53:03 PM,1/3/2019 12:27:51 PM,,7272,474,KITCHENER,LOT 19B (KPL AND QUEEN ST N),,N\A,,-8959639.95265494,5381220.86140118
2256,LIGHT POLE,LOT 19B,ORTHO 2016,5/15/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,11/24/2003 3:53:06 PM,1/3/2019 12:27:51 PM,,7272,475,KITCHENER,LOT 19B (KPL AND QUEEN ST N),,N\A,,-8959624.47610587,5381249.22809447
2257,LIGHT POLE,LOT 19A,ORTHO 2016,5/15/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:47 PM,11/24/2003 3:53:36 PM,1/3/2019 12:27:51 PM,,5952,476,KITCHENER,LOT 19A (CENTRE IN THE SQUARE),,N\A,,-8959527.74268388,5381317.85102302
2258,LIGHT POLE,LOT 14,ORTHO 2016,11/24/2003 3:54:53 PM,ACTIVE,9/17/2008 4:57:47 PM,11/24/2003 3:54:53 PM,1/3/2019 12:27:51 PM,,1939,477,KITCHENER,LOT 14,,N\A,,-8959463.51679597,5381254.25403058
2260,PAY AND DISPLAY,CIVIC DISTRICT GARAGE,ORTHO,11/24/2003 3:56:48 PM,PENDING,6/25/2012 3:24:41 PM,11/24/2003 3:56:48 PM,9/11/2017 12:42:32 PM,,5903,479,KITCHENER,,,NOT APPLI*,,-8959602.36177094,5381142.58757815
